child_segment,recommended_product,confidence,reason
Funny Nurse,Mug,High,Profession and hobby segments have strong everyday-use fit.
Funny Nurse,Tumbler,High,Reusable drinkware supports names and simple icon systems.
Funny Nurse,Tote Bag,Medium,"Functional carry products fit teacher, reader, and work niches."
Pastor Wife Appreciation,Mug,Medium,Default POD gift format for short demand phrases.
Pastor Wife Appreciation,Tumbler,Medium,Default practical product for personalized gift niches.
Pastor Wife Appreciation,Blanket,Low,Use as a validation product when the emotional angle is clear.
Husband Valentines Day,Mug,Medium,Default POD gift format for short demand phrases.
Husband Valentines Day,Tumbler,Medium,Default practical product for personalized gift niches.
Husband Valentines Day,Blanket,Low,Use as a validation product when the emotional angle is clear.
Funny Fishing,Tumbler,High,Interest-led segments work well on practical drinkware.
Funny Fishing,Mug,High,Interest phrases are short enough for repeatable mug designs.
Funny Fishing,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Teacher Birthday,Mug,High,Profession and hobby segments have strong everyday-use fit.
Teacher Birthday,Tumbler,High,Reusable drinkware supports names and simple icon systems.
Teacher Birthday,Tote Bag,Medium,"Functional carry products fit teacher, reader, and work niches."
Nurse Graduation,Mug,High,Profession and hobby segments have strong everyday-use fit.
Nurse Graduation,Tumbler,High,Reusable drinkware supports names and simple icon systems.
Nurse Graduation,Tote Bag,Medium,"Functional carry products fit teacher, reader, and work niches."
Christian Teen Girls,Mug,Medium,Default POD gift format for short demand phrases.
Christian Teen Girls,Tumbler,Medium,Default practical product for personalized gift niches.
Christian Teen Girls,Blanket,Low,Use as a validation product when the emotional angle is clear.
American Girl,Mug,Medium,Default POD gift format for short demand phrases.
American Girl,Tumbler,Medium,Default practical product for personalized gift niches.
American Girl,Blanket,Low,Use as a validation product when the emotional angle is clear.
Police Academy Graduation,Mug,Medium,Default POD gift format for short demand phrases.
Police Academy Graduation,Tumbler,Medium,Default practical product for personalized gift niches.
Police Academy Graduation,Blanket,Low,Use as a validation product when the emotional angle is clear.
Christian Mom,Mug,Medium,Default POD gift format for short demand phrases.
Christian Mom,Tumbler,Medium,Default practical product for personalized gift niches.
Christian Mom,Blanket,Low,Use as a validation product when the emotional angle is clear.
Mrs Mrs Wedding,Mug,Medium,Default POD gift format for short demand phrases.
Mrs Mrs Wedding,Tumbler,Medium,Default practical product for personalized gift niches.
Mrs Mrs Wedding,Blanket,Low,Use as a validation product when the emotional angle is clear.
Birthday Son Adult,Mug,Medium,Default POD gift format for short demand phrases.
Birthday Son Adult,Tumbler,Medium,Default practical product for personalized gift niches.
Birthday Son Adult,Blanket,Low,Use as a validation product when the emotional angle is clear.
Demon Hunter Girls,Tumbler,High,Interest-led segments work well on practical drinkware.
Demon Hunter Girls,Mug,High,Interest phrases are short enough for repeatable mug designs.
Demon Hunter Girls,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Nurse Christmas,Mug,High,Profession and hobby segments have strong everyday-use fit.
Nurse Christmas,Tumbler,High,Reusable drinkware supports names and simple icon systems.
Nurse Christmas,Tote Bag,Medium,"Functional carry products fit teacher, reader, and work niches."
Dog Grandma,Blanket,High,Pet and memorial segments support emotional gift products.
Dog Grandma,Ornament,Medium,Pet identity and memorial designs fit seasonal keepsakes.
Dog Grandma,Mug,Medium,Pet-parent identity works on repeatable drinkware formats.
Nurse Appreciation,Mug,High,Profession and hobby segments have strong everyday-use fit.
Nurse Appreciation,Tumbler,High,Reusable drinkware supports names and simple icon systems.
Nurse Appreciation,Tote Bag,Medium,"Functional carry products fit teacher, reader, and work niches."
Son In Law Christmas,Ornament,High,Holiday segments fit keepsake and seasonal tree decor.
Son In Law Christmas,Mug,Medium,Holiday gift phrases can scale into drinkware.
Son In Law Christmas,Blanket,Medium,Seasonal family gifting can support cozy products.
Funny Grandpa,Poster,Medium,Theme-led designs can be tested as wall decor.
Funny Grandpa,Mug,Medium,Visual themes transfer cleanly to drinkware.
Funny Grandpa,Blanket,Medium,Style-led themes can work on larger print surfaces.
Funny Husband,Poster,Medium,Theme-led designs can be tested as wall decor.
Funny Husband,Mug,Medium,Visual themes transfer cleanly to drinkware.
Funny Husband,Blanket,Medium,Style-led themes can work on larger print surfaces.
Christian Teen Boys,Mug,Medium,Default POD gift format for short demand phrases.
Christian Teen Boys,Tumbler,Medium,Default practical product for personalized gift niches.
Christian Teen Boys,Blanket,Low,Use as a validation product when the emotional angle is clear.
Halloween Girls,Ornament,High,Holiday segments fit keepsake and seasonal tree decor.
Halloween Girls,Mug,Medium,Holiday gift phrases can scale into drinkware.
Halloween Girls,Blanket,Medium,Seasonal family gifting can support cozy products.
Baby Boy Thank You,Mug,Medium,Default POD gift format for short demand phrases.
Baby Boy Thank You,Tumbler,Medium,Default practical product for personalized gift niches.
Baby Boy Thank You,Blanket,Low,Use as a validation product when the emotional angle is clear.
Funny Grandma,Poster,Medium,Theme-led designs can be tested as wall decor.
Funny Grandma,Mug,Medium,Visual themes transfer cleanly to drinkware.
Funny Grandma,Blanket,Medium,Style-led themes can work on larger print surfaces.
Thanksgiving Teacher,Mug,High,Profession and hobby segments have strong everyday-use fit.
Thanksgiving Teacher,Tumbler,High,Reusable drinkware supports names and simple icon systems.
Thanksgiving Teacher,Tote Bag,Medium,"Functional carry products fit teacher, reader, and work niches."
Gamer Girl,Tumbler,High,Interest-led segments work well on practical drinkware.
Gamer Girl,Mug,High,Interest phrases are short enough for repeatable mug designs.
Gamer Girl,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Fishing Christmas,Tumbler,High,Interest-led segments work well on practical drinkware.
Fishing Christmas,Mug,High,Interest phrases are short enough for repeatable mug designs.
Fishing Christmas,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Thanks Giving Outfit Baby Girl,Mug,Medium,Default POD gift format for short demand phrases.
Thanks Giving Outfit Baby Girl,Tumbler,Medium,Default practical product for personalized gift niches.
Thanks Giving Outfit Baby Girl,Blanket,Low,Use as a validation product when the emotional angle is clear.
Hunting Boys,Tumbler,High,Interest-led segments work well on practical drinkware.
Hunting Boys,Mug,High,Interest phrases are short enough for repeatable mug designs.
Hunting Boys,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Funny Teen Boys,Poster,Medium,Theme-led designs can be tested as wall decor.
Funny Teen Boys,Mug,Medium,Visual themes transfer cleanly to drinkware.
Funny Teen Boys,Blanket,Medium,Style-led themes can work on larger print surfaces.
Halloween Boys,Ornament,High,Holiday segments fit keepsake and seasonal tree decor.
Halloween Boys,Mug,Medium,Holiday gift phrases can scale into drinkware.
Halloween Boys,Blanket,Medium,Seasonal family gifting can support cozy products.
Funny Wife,Poster,Medium,Theme-led designs can be tested as wall decor.
Funny Wife,Mug,Medium,Visual themes transfer cleanly to drinkware.
Funny Wife,Blanket,Medium,Style-led themes can work on larger print surfaces.
Football Thank You,Tumbler,High,Interest-led segments work well on practical drinkware.
Football Thank You,Mug,High,Interest phrases are short enough for repeatable mug designs.
Football Thank You,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Cat Thank You,Blanket,High,Pet and memorial segments support emotional gift products.
Cat Thank You,Ornament,Medium,Pet identity and memorial designs fit seasonal keepsakes.
Cat Thank You,Mug,Medium,Pet-parent identity works on repeatable drinkware formats.
Soccer Mom,Tumbler,High,Interest-led segments work well on practical drinkware.
Soccer Mom,Mug,High,Interest phrases are short enough for repeatable mug designs.
Soccer Mom,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Cat Lover Girls,Blanket,High,Pet and memorial segments support emotional gift products.
Cat Lover Girls,Ornament,Medium,Pet identity and memorial designs fit seasonal keepsakes.
Cat Lover Girls,Mug,Medium,Pet-parent identity works on repeatable drinkware formats.
Daughter In Law Wedding,Mug,Medium,Default POD gift format for short demand phrases.
Daughter In Law Wedding,Tumbler,Medium,Default practical product for personalized gift niches.
Daughter In Law Wedding,Blanket,Low,Use as a validation product when the emotional angle is clear.
Truck Driver Appreciation Week,Mug,Medium,Default POD gift format for short demand phrases.
Truck Driver Appreciation Week,Tumbler,Medium,Default practical product for personalized gift niches.
Truck Driver Appreciation Week,Blanket,Low,Use as a validation product when the emotional angle is clear.
Christian Teacher,Mug,High,Profession and hobby segments have strong everyday-use fit.
Christian Teacher,Tumbler,High,Reusable drinkware supports names and simple icon systems.
Christian Teacher,Tote Bag,Medium,"Functional carry products fit teacher, reader, and work niches."
Fishing Dad,Tumbler,High,Interest-led segments work well on practical drinkware.
Fishing Dad,Mug,High,Interest phrases are short enough for repeatable mug designs.
Fishing Dad,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Book Lovers Girls,Mug,High,Profession and hobby segments have strong everyday-use fit.
Book Lovers Girls,Tumbler,High,Reusable drinkware supports names and simple icon systems.
Book Lovers Girls,Tote Bag,Medium,"Functional carry products fit teacher, reader, and work niches."
Funny Dog,Blanket,High,Pet and memorial segments support emotional gift products.
Funny Dog,Ornament,Medium,Pet identity and memorial designs fit seasonal keepsakes.
Funny Dog,Mug,Medium,Pet-parent identity works on repeatable drinkware formats.
Funny Pickleball,Poster,Medium,Theme-led designs can be tested as wall decor.
Funny Pickleball,Mug,Medium,Visual themes transfer cleanly to drinkware.
Funny Pickleball,Blanket,Medium,Style-led themes can work on larger print surfaces.
Floral Mother Of Bride Dresses,Poster,Medium,Theme-led designs can be tested as wall decor.
Floral Mother Of Bride Dresses,Mug,Medium,Visual themes transfer cleanly to drinkware.
Floral Mother Of Bride Dresses,Blanket,Medium,Style-led themes can work on larger print surfaces.
Dog Thank You,Blanket,High,Pet and memorial segments support emotional gift products.
Dog Thank You,Ornament,Medium,Pet identity and memorial designs fit seasonal keepsakes.
Dog Thank You,Mug,Medium,Pet-parent identity works on repeatable drinkware formats.
Coffee Christmas Set,Mug,High,Profession and hobby segments have strong everyday-use fit.
Coffee Christmas Set,Tumbler,High,Reusable drinkware supports names and simple icon systems.
Coffee Christmas Set,Tote Bag,Medium,"Functional carry products fit teacher, reader, and work niches."
Gamer Husband,Tumbler,High,Interest-led segments work well on practical drinkware.
Gamer Husband,Mug,High,Interest phrases are short enough for repeatable mug designs.
Gamer Husband,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Holiday Teacher,Mug,High,Profession and hobby segments have strong everyday-use fit.
Holiday Teacher,Tumbler,High,Reusable drinkware supports names and simple icon systems.
Holiday Teacher,Tote Bag,Medium,"Functional carry products fit teacher, reader, and work niches."
Christian Dad,Mug,Medium,Default POD gift format for short demand phrases.
Christian Dad,Tumbler,Medium,Default practical product for personalized gift niches.
Christian Dad,Blanket,Low,Use as a validation product when the emotional angle is clear.
Gamer Christmas,Tumbler,High,Interest-led segments work well on practical drinkware.
Gamer Christmas,Mug,High,Interest phrases are short enough for repeatable mug designs.
Gamer Christmas,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Soccer Christmas,Tumbler,High,Interest-led segments work well on practical drinkware.
Soccer Christmas,Mug,High,Interest phrases are short enough for repeatable mug designs.
Soccer Christmas,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Funny Son In Law,Poster,Medium,Theme-led designs can be tested as wall decor.
Funny Son In Law,Mug,Medium,Visual themes transfer cleanly to drinkware.
Funny Son In Law,Blanket,Medium,Style-led themes can work on larger print surfaces.
Funny Hunting,Tumbler,High,Interest-led segments work well on practical drinkware.
Funny Hunting,Mug,High,Interest phrases are short enough for repeatable mug designs.
Funny Hunting,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Hunting Christmas,Tumbler,High,Interest-led segments work well on practical drinkware.
Hunting Christmas,Mug,High,Interest phrases are short enough for repeatable mug designs.
Hunting Christmas,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Hunting Dad,Tumbler,High,Interest-led segments work well on practical drinkware.
Hunting Dad,Mug,High,Interest phrases are short enough for repeatable mug designs.
Hunting Dad,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Western Girl,Mug,Medium,Default POD gift format for short demand phrases.
Western Girl,Tumbler,Medium,Default practical product for personalized gift niches.
Western Girl,Blanket,Low,Use as a validation product when the emotional angle is clear.
Funny Teen Girls,Poster,Medium,Theme-led designs can be tested as wall decor.
Funny Teen Girls,Mug,Medium,Visual themes transfer cleanly to drinkware.
Funny Teen Girls,Blanket,Medium,Style-led themes can work on larger print surfaces.
Mothers Day Mom,Mug,Medium,Default POD gift format for short demand phrases.
Mothers Day Mom,Tumbler,Medium,Default practical product for personalized gift niches.
Mothers Day Mom,Blanket,Low,Use as a validation product when the emotional angle is clear.
Funny Firefighter,Poster,Medium,Theme-led designs can be tested as wall decor.
Funny Firefighter,Mug,Medium,Visual themes transfer cleanly to drinkware.
Funny Firefighter,Blanket,Medium,Style-led themes can work on larger print surfaces.
Gardening Mom,Mug,Medium,Default POD gift format for short demand phrases.
Gardening Mom,Tumbler,Medium,Default practical product for personalized gift niches.
Gardening Mom,Blanket,Low,Use as a validation product when the emotional angle is clear.
Fathers Day Dad,Mug,Medium,Default POD gift format for short demand phrases.
Fathers Day Dad,Tumbler,Medium,Default practical product for personalized gift niches.
Fathers Day Dad,Blanket,Low,Use as a validation product when the emotional angle is clear.
Dog Grandpa,Blanket,High,Pet and memorial segments support emotional gift products.
Dog Grandpa,Ornament,Medium,Pet identity and memorial designs fit seasonal keepsakes.
Dog Grandpa,Mug,Medium,Pet-parent identity works on repeatable drinkware formats.
Grandma Garden,Mug,Medium,Default POD gift format for short demand phrases.
Grandma Garden,Tumbler,Medium,Default practical product for personalized gift niches.
Grandma Garden,Blanket,Low,Use as a validation product when the emotional angle is clear.
Thank You Mr Falker,Mug,Medium,Default POD gift format for short demand phrases.
Thank You Mr Falker,Tumbler,Medium,Default practical product for personalized gift niches.
Thank You Mr Falker,Blanket,Low,Use as a validation product when the emotional angle is clear.
Gamer Dad,Tumbler,High,Interest-led segments work well on practical drinkware.
Gamer Dad,Mug,High,Interest phrases are short enough for repeatable mug designs.
Gamer Dad,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Firefighter Christmas,Ornament,High,Holiday segments fit keepsake and seasonal tree decor.
Firefighter Christmas,Mug,Medium,Holiday gift phrases can scale into drinkware.
Firefighter Christmas,Blanket,Medium,Seasonal family gifting can support cozy products.
Christian Grandma,Mug,Medium,Default POD gift format for short demand phrases.
Christian Grandma,Tumbler,Medium,Default practical product for personalized gift niches.
Christian Grandma,Blanket,Low,Use as a validation product when the emotional angle is clear.
Wedding Son,Mug,Medium,Default POD gift format for short demand phrases.
Wedding Son,Tumbler,Medium,Default practical product for personalized gift niches.
Wedding Son,Blanket,Low,Use as a validation product when the emotional angle is clear.
Dog Memorial Garden Stones,Blanket,High,Pet and memorial segments support emotional gift products.
Dog Memorial Garden Stones,Ornament,Medium,Pet identity and memorial designs fit seasonal keepsakes.
Dog Memorial Garden Stones,Mug,Medium,Pet-parent identity works on repeatable drinkware formats.
Husband On Wedding Day,Mug,Medium,Default POD gift format for short demand phrases.
Husband On Wedding Day,Tumbler,Medium,Default practical product for personalized gift niches.
Husband On Wedding Day,Blanket,Low,Use as a validation product when the emotional angle is clear.
Funny Cop,Poster,Medium,Theme-led designs can be tested as wall decor.
Funny Cop,Mug,Medium,Visual themes transfer cleanly to drinkware.
Funny Cop,Blanket,Medium,Style-led themes can work on larger print surfaces.
Soccer Dad,Tumbler,High,Interest-led segments work well on practical drinkware.
Soccer Dad,Mug,High,Interest phrases are short enough for repeatable mug designs.
Soccer Dad,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Christian Wife,Mug,Medium,Default POD gift format for short demand phrases.
Christian Wife,Tumbler,Medium,Default practical product for personalized gift niches.
Christian Wife,Blanket,Low,Use as a validation product when the emotional angle is clear.
Yoga Teacher,Mug,High,Profession and hobby segments have strong everyday-use fit.
Yoga Teacher,Tumbler,High,Reusable drinkware supports names and simple icon systems.
Yoga Teacher,Tote Bag,Medium,"Functional carry products fit teacher, reader, and work niches."
Cat Grandma,Blanket,High,Pet and memorial segments support emotional gift products.
Cat Grandma,Ornament,Medium,Pet identity and memorial designs fit seasonal keepsakes.
Cat Grandma,Mug,Medium,Pet-parent identity works on repeatable drinkware formats.
Funny Chef,Poster,Medium,Theme-led designs can be tested as wall decor.
Funny Chef,Mug,Medium,Visual themes transfer cleanly to drinkware.
Funny Chef,Blanket,Medium,Style-led themes can work on larger print surfaces.
Reading Teacher,Mug,High,Profession and hobby segments have strong everyday-use fit.
Reading Teacher,Tumbler,High,Reusable drinkware supports names and simple icon systems.
Reading Teacher,Tote Bag,Medium,"Functional carry products fit teacher, reader, and work niches."
Funny Camping,Tumbler,High,Interest-led segments work well on practical drinkware.
Funny Camping,Mug,High,Interest phrases are short enough for repeatable mug designs.
Funny Camping,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Farm Girl,Mug,Medium,Default POD gift format for short demand phrases.
Farm Girl,Tumbler,Medium,Default practical product for personalized gift niches.
Farm Girl,Blanket,Low,Use as a validation product when the emotional angle is clear.
Dad Gardening,Mug,Medium,Default POD gift format for short demand phrases.
Dad Gardening,Tumbler,Medium,Default practical product for personalized gift niches.
Dad Gardening,Blanket,Low,Use as a validation product when the emotional angle is clear.
Grandpa Fishing,Tumbler,High,Interest-led segments work well on practical drinkware.
Grandpa Fishing,Mug,High,Interest phrases are short enough for repeatable mug designs.
Grandpa Fishing,Blanket,Medium,Giftable niche designs can scale into cozy home products.
Girl Dog,Blanket,High,Pet and memorial segments support emotional gift products.
