child_segment,segment_label_source,canonical_evidence_phrase,is_evidence_backed,observed_products,photo,name,multiple_names,birth_flower,clipart,line_art,hand_drawing,best_customization,explanation
Funny Teacher,observed_phrase,funny teacher gift,True,,35,100,34,28,99,35,52,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems; style-led segments can use reusable illustration systems
Country Girl,observed_phrase,country girl gift,True,,35,98,34,58,52,35,30,Name,gift and personalization wording supports name customization; floral or family gifting language supports birth-flower variants
Dog Birthday,observed_phrase,dog birthday gift,True,,83,100,34,58,52,73,55,Name,gift and personalization wording supports name customization; pet and memorial language supports photo and drawing customization; floral or family gifting language supports birth-flower variants
Daughter In Law Christmas,observed_phrase,daughter in law christmas gift,True,,47,100,59,28,70,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; seasonal segments support themed clipart and names
Halloween Teacher,observed_phrase,halloween teacher gift,True,,35,100,34,28,100,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems; seasonal segments support themed clipart and names
Grandpa Birthday,observed_phrase,grandpa birthday gift,True,,57,98,59,58,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; floral or family gifting language supports birth-flower variants
Funny Nurse,observed_phrase,funny nurse gift,True,,35,100,34,28,99,35,52,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems; style-led segments can use reusable illustration systems
Pastor Wife Appreciation,observed_phrase,pastor wife appreciation gift,True,Card,47,98,59,28,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details
Husband Valentines Day,observed_phrase,husband valentines day gift,True,,47,100,59,28,70,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; seasonal segments support themed clipart and names
Funny Fishing,observed_phrase,funny fishing gift,True,,35,100,34,28,99,35,52,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems; style-led segments can use reusable illustration systems
Teacher Birthday,observed_phrase,teacher birthday gift,True,,35,100,34,68,87,35,30,Name,gift and personalization wording supports name customization; floral or family gifting language supports birth-flower variants; profession and hobby segments fit simple clipart systems
Nurse Graduation,observed_phrase,nurse graduation gift,True,,35,100,34,28,87,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems
Christian Teen Girls,observed_phrase,christian gift for teen girls,True,,35,98,34,58,52,35,30,Name,gift and personalization wording supports name customization; floral or family gifting language supports birth-flower variants
American Girl,observed_phrase,american girl gift card,True,Card,35,98,34,58,52,35,30,Name,gift and personalization wording supports name customization; floral or family gifting language supports birth-flower variants
Police Academy Graduation,observed_phrase,police academy graduation gift,True,,35,98,34,28,52,35,30,Name,gift and personalization wording supports name customization
Christian Mom,observed_phrase,christian gift for mom,True,,57,98,59,58,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; floral or family gifting language supports birth-flower variants
Mrs Mrs Wedding,observed_phrase,mrs and mrs wedding gift,True,,65,98,84,28,52,63,30,Name,"gift and personalization wording supports name customization; family recipient segments often need names and family details; relationship occasions favor names, dates, and line-art systems"
Birthday Son Adult,observed_phrase,birthday gift for son adult,True,,35,98,34,68,52,35,30,Name,gift and personalization wording supports name customization; floral or family gifting language supports birth-flower variants
Demon Hunter Girls,observed_phrase,demon hunter gift for girls,True,,35,100,34,58,87,35,30,Name,gift and personalization wording supports name customization; floral or family gifting language supports birth-flower variants; profession and hobby segments fit simple clipart systems
Nurse Christmas,observed_phrase,nurse christmas gift,True,,35,100,34,28,100,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems; seasonal segments support themed clipart and names
Dog Grandma,observed_phrase,dog grandma gift,True,,95,100,59,58,52,81,55,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; pet and memorial language supports photo and drawing customization
Nurse Appreciation,observed_phrase,nurse appreciation gift,True,,35,100,34,28,87,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems
Son In Law Christmas,observed_phrase,son in law christmas gift,True,,35,100,34,28,70,35,30,Name,gift and personalization wording supports name customization; seasonal segments support themed clipart and names
Funny Grandpa,observed_phrase,funny grandpa gift,True,,57,98,59,28,64,43,48,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; style-led segments can use reusable illustration systems
Funny Husband,observed_phrase,funny gift for husband,True,,47,98,59,28,64,43,52,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; style-led segments can use reusable illustration systems
Christian Teen Boys,observed_phrase,christian gift for teen boys,True,,35,98,34,28,52,35,30,Name,gift and personalization wording supports name customization
Halloween Girls,observed_phrase,halloween gift for girls,True,,35,100,34,58,70,35,30,Name,gift and personalization wording supports name customization; floral or family gifting language supports birth-flower variants; seasonal segments support themed clipart and names
Baby Boy Thank You,observed_phrase,baby boy thank you cards,True,Card,35,98,34,28,52,35,30,Name,gift and personalization wording supports name customization
Funny Grandma,observed_phrase,funny grandma gift,True,,57,98,59,58,64,43,48,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; floral or family gifting language supports birth-flower variants
Thanksgiving Teacher,observed_phrase,thanksgiving teacher gift,True,,35,100,34,28,100,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems; seasonal segments support themed clipart and names
Gamer Girl,observed_phrase,gamer girl gift,True,,35,98,34,58,52,35,30,Name,gift and personalization wording supports name customization; floral or family gifting language supports birth-flower variants
Fishing Christmas,observed_phrase,fishing christmas gift,True,,35,100,34,28,100,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems; seasonal segments support themed clipart and names
Thanks Giving Outfit Baby Girl,observed_phrase,thanks giving outfit baby girl,True,Card,35,98,34,58,52,35,30,Name,gift and personalization wording supports name customization; floral or family gifting language supports birth-flower variants
Hunting Boys,observed_phrase,hunting gift for boys,True,,35,100,34,28,87,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems
Funny Teen Boys,observed_phrase,funny gift for teen boys,True,,35,98,34,28,64,35,52,Name,gift and personalization wording supports name customization; style-led segments can use reusable illustration systems
Halloween Boys,observed_phrase,halloween gift for boys,True,,35,100,34,28,70,35,30,Name,gift and personalization wording supports name customization; seasonal segments support themed clipart and names
Funny Wife,observed_phrase,funny gift for wife,True,,47,98,59,28,64,43,52,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; style-led segments can use reusable illustration systems
Football Thank You,observed_phrase,football thank you cards,True,Card,35,100,34,28,77,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems
Cat Thank You,observed_phrase,cat thank you cards,True,Card,83,100,34,28,52,73,55,Name,gift and personalization wording supports name customization; pet and memorial language supports photo and drawing customization
Soccer Mom,observed_phrase,soccer mom gift,True,,57,100,59,58,77,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; floral or family gifting language supports birth-flower variants
Cat Lover Girls,observed_phrase,cat lover gift for girls,True,,83,100,34,58,52,73,55,Name,gift and personalization wording supports name customization; pet and memorial language supports photo and drawing customization; floral or family gifting language supports birth-flower variants
Daughter In Law Wedding,observed_phrase,daughter in law wedding gift,True,,53,98,59,28,52,55,30,Name,"gift and personalization wording supports name customization; relationship occasions favor names, dates, and line-art systems"
Truck Driver Appreciation Week,observed_phrase,truck driver appreciation week gift,True,,35,98,34,28,52,35,30,Name,gift and personalization wording supports name customization
Christian Teacher,observed_phrase,christian teacher gift,True,,35,100,34,28,87,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems
Fishing Dad,observed_phrase,fishing gift for dad,True,,57,100,59,28,77,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; profession and hobby segments fit simple clipart systems
Book Lovers Girls,observed_phrase,gift for book lovers girls,True,,35,98,34,58,52,35,30,Name,gift and personalization wording supports name customization; floral or family gifting language supports birth-flower variants
Funny Dog,observed_phrase,funny dog gift,True,,83,100,34,28,64,73,73,Name,gift and personalization wording supports name customization; pet and memorial language supports photo and drawing customization; style-led segments can use reusable illustration systems
Funny Pickleball,observed_phrase,funny pickleball gift,True,,35,98,34,28,64,35,52,Name,gift and personalization wording supports name customization; style-led segments can use reusable illustration systems
Dog Thank You,observed_phrase,dog thank you cards,True,Card,83,100,34,28,52,73,55,Name,gift and personalization wording supports name customization; pet and memorial language supports photo and drawing customization
Coffee Christmas Set,observed_phrase,coffee christmas gift set,True,,35,100,34,28,80,35,30,Name,gift and personalization wording supports name customization; seasonal segments support themed clipart and names
Gamer Husband,observed_phrase,gift for gamer husband,True,,47,98,59,28,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details
Holiday Teacher,observed_phrase,holiday teacher gift,True,,35,100,34,28,100,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems; seasonal segments support themed clipart and names
Christian Dad,observed_phrase,christian gift for dad,True,,57,98,59,28,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details
Gamer Christmas,observed_phrase,gamer christmas gift,True,,35,100,34,28,70,35,30,Name,gift and personalization wording supports name customization; seasonal segments support themed clipart and names
Soccer Christmas,observed_phrase,soccer christmas gift,True,,35,100,34,28,95,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems; seasonal segments support themed clipart and names
Funny Son In Law,observed_phrase,funny son in law gift,True,,35,98,34,28,64,35,52,Name,gift and personalization wording supports name customization; style-led segments can use reusable illustration systems
Funny Hunting,observed_phrase,funny hunting gift,True,,35,100,34,28,99,35,52,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems; style-led segments can use reusable illustration systems
Hunting Christmas,observed_phrase,hunting christmas gift,True,,35,100,34,28,100,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems; seasonal segments support themed clipart and names
Hunting Dad,observed_phrase,hunting gift for dad,True,,57,100,59,28,77,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; profession and hobby segments fit simple clipart systems
Western Girl,observed_phrase,western girl gift,True,,35,98,34,58,52,35,30,Name,gift and personalization wording supports name customization; floral or family gifting language supports birth-flower variants
Funny Teen Girls,observed_phrase,funny gift for teen girls,True,,35,98,34,58,64,35,52,Name,gift and personalization wording supports name customization; floral or family gifting language supports birth-flower variants; style-led segments can use reusable illustration systems
Mothers Day Mom,observed_phrase,mothers day gift for mom,True,,57,98,59,58,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; floral or family gifting language supports birth-flower variants
Funny Firefighter,observed_phrase,funny firefighter gift,True,,35,98,34,28,64,35,52,Name,gift and personalization wording supports name customization; style-led segments can use reusable illustration systems
Gardening Mom,observed_phrase,gardening gift for mom,True,,57,98,59,58,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; floral or family gifting language supports birth-flower variants
Fathers Day Dad,observed_phrase,fathers day gift for dad,True,,57,98,59,28,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details
Dog Grandpa,observed_phrase,dog grandpa gift,True,,95,100,59,28,52,81,55,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; pet and memorial language supports photo and drawing customization
Grandma Garden,observed_phrase,grandma garden gift,True,,57,98,59,58,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; floral or family gifting language supports birth-flower variants
Thank You Mr Falker,observed_phrase,thank you mr falker,True,,47,98,59,28,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details
Gamer Dad,observed_phrase,gamer dad gift,True,,57,98,59,28,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details
Firefighter Christmas,observed_phrase,firefighter christmas gift,True,,35,100,34,28,70,35,30,Name,gift and personalization wording supports name customization; seasonal segments support themed clipart and names
Christian Grandma,observed_phrase,christian gift for grandma,True,,57,98,59,58,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; floral or family gifting language supports birth-flower variants
Wedding Son,observed_phrase,wedding gift for son,True,,53,98,59,28,52,55,30,Name,"gift and personalization wording supports name customization; relationship occasions favor names, dates, and line-art systems"
Dog Memorial Garden Stones,observed_phrase,dog memorial garden stones,True,,83,92,34,28,44,73,55,Name,pet and memorial language supports photo and drawing customization
Husband On Wedding Day,observed_phrase,gift for husband on wedding day,True,,65,98,84,28,52,63,30,Name,"gift and personalization wording supports name customization; family recipient segments often need names and family details; relationship occasions favor names, dates, and line-art systems"
Funny Cop,observed_phrase,funny cop gift,True,,35,98,34,28,64,35,52,Name,gift and personalization wording supports name customization; style-led segments can use reusable illustration systems
Soccer Dad,observed_phrase,soccer dad gift,True,,57,100,59,28,77,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; profession and hobby segments fit simple clipart systems
Christian Wife,observed_phrase,christian gift for wife,True,,47,98,59,28,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details
Yoga Teacher,observed_phrase,yoga teacher gift,True,,35,100,34,28,87,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems
Cat Grandma,observed_phrase,cat grandma gift,True,,95,100,59,58,52,81,55,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; pet and memorial language supports photo and drawing customization
Funny Chef,observed_phrase,funny chef gift,True,,35,98,34,28,64,35,52,Name,gift and personalization wording supports name customization; style-led segments can use reusable illustration systems
Reading Teacher,observed_phrase,reading teacher gift,True,,35,100,34,28,87,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems
Funny Camping,observed_phrase,funny camping gift,True,,35,100,34,28,99,35,52,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems; style-led segments can use reusable illustration systems
Farm Girl,observed_phrase,farm girl gift,True,,35,98,34,58,52,35,30,Name,gift and personalization wording supports name customization; floral or family gifting language supports birth-flower variants
Dad Gardening,observed_phrase,gift for dad gardening,True,,57,98,59,28,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details
Grandpa Fishing,observed_phrase,grandpa fishing gift,True,,57,100,59,28,77,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; profession and hobby segments fit simple clipart systems
Girl Dog,observed_phrase,girl dog gift,True,,83,100,34,58,52,73,55,Name,gift and personalization wording supports name customization; pet and memorial language supports photo and drawing customization; floral or family gifting language supports birth-flower variants
Teacher Valentine,observed_phrase,teacher valentine gift,True,,35,100,34,28,100,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems; seasonal segments support themed clipart and names
Funny Electrician,observed_phrase,funny electrician gift,True,,35,98,34,28,64,35,52,Name,gift and personalization wording supports name customization; style-led segments can use reusable illustration systems
Funny Coffee,observed_phrase,funny coffee gift,True,,35,98,34,28,74,35,52,Name,gift and personalization wording supports name customization; style-led segments can use reusable illustration systems
Thankful Teacher,observed_phrase,thankful teacher gift,True,,35,100,34,28,100,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems; seasonal segments support themed clipart and names
Give Thanks Garden Flag,observed_phrase,give thanks garden flag,True,,35,98,34,28,52,35,30,Name,gift and personalization wording supports name customization
Best Christmas Hairdresser,observed_phrase,best christmas gift for hairdresser,True,,35,100,34,28,70,35,30,Name,gift and personalization wording supports name customization; seasonal segments support themed clipart and names
Reading Mom,observed_phrase,reading mom gift,True,,57,98,59,58,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; floral or family gifting language supports birth-flower variants
Funny Football,observed_phrase,funny football gift,True,,35,100,34,28,89,35,52,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems; style-led segments can use reusable illustration systems
Funny Gardening,observed_phrase,funny gardening gift,True,,35,98,34,28,64,35,52,Name,gift and personalization wording supports name customization; style-led segments can use reusable illustration systems
Cat Birthday,observed_phrase,cat birthday gift,True,,83,100,34,58,52,73,55,Name,gift and personalization wording supports name customization; pet and memorial language supports photo and drawing customization; floral or family gifting language supports birth-flower variants
Teacher Graduation,observed_phrase,teacher graduation gift,True,,35,100,34,28,87,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems
Funny Gamer,observed_phrase,funny gamer gift,True,,35,98,34,28,64,35,52,Name,gift and personalization wording supports name customization; style-led segments can use reusable illustration systems
Thank You Mom,observed_phrase,thank you mom,True,,57,98,59,58,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; floral or family gifting language supports birth-flower variants
Christian Husband,observed_phrase,christian gift for husband,True,,47,98,59,28,52,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details
Halloween Nurse,observed_phrase,halloween nurse gift,True,,35,100,34,28,100,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems; seasonal segments support themed clipart and names
Funny Daughter,observed_phrase,funny gift for daughter,True,,35,98,34,28,64,35,52,Name,gift and personalization wording supports name customization; style-led segments can use reusable illustration systems
Boys Valentine,observed_phrase,boys valentine gift,True,,35,100,34,28,70,35,30,Name,gift and personalization wording supports name customization; seasonal segments support themed clipart and names
Cat Lover Mom,observed_phrase,cat lover mom gift,True,,95,100,59,58,52,81,55,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; pet and memorial language supports photo and drawing customization
Camping Christmas,observed_phrase,camping christmas gift,True,,35,100,34,28,100,35,30,Name,gift and personalization wording supports name customization; profession and hobby segments fit simple clipart systems; seasonal segments support themed clipart and names
Pickleball Christmas,observed_phrase,pickleball christmas gift,True,,35,100,34,28,70,35,30,Name,gift and personalization wording supports name customization; seasonal segments support themed clipart and names
Book Lover Teen Girls,observed_phrase,book lover gift for teen girls,True,,35,98,34,58,52,35,30,Name,gift and personalization wording supports name customization; floral or family gifting language supports birth-flower variants
Holiday Coffee Set,observed_phrase,holiday coffee gift set,True,,35,100,34,28,80,35,30,Name,gift and personalization wording supports name customization; seasonal segments support themed clipart and names
Chef Christmas,observed_phrase,chef christmas gift,True,,35,100,34,28,70,35,30,Name,gift and personalization wording supports name customization; seasonal segments support themed clipart and names
Camping Dad,observed_phrase,camping gift for dad,True,,57,100,59,28,77,43,30,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; profession and hobby segments fit simple clipart systems
Christian Daughter,observed_phrase,christian gift for daughter,True,,35,98,34,28,52,35,30,Name,gift and personalization wording supports name customization
Christmas Police Officers,observed_phrase,christmas gift for police officers,True,,35,100,34,28,70,35,30,Name,gift and personalization wording supports name customization; seasonal segments support themed clipart and names
Mom Dog Women,observed_phrase,mom dog gift for women,True,,95,100,59,58,52,81,55,Name,gift and personalization wording supports name customization; family recipient segments often need names and family details; pet and memorial language supports photo and drawing customization
