child_segment,segment_label_source,canonical_evidence_phrase,is_evidence_backed,observed_products,card_score,blanket_score,mug_score,tumbler_score,shirt_score,ornament_score,canvas_score,best_product,explanation
Halloween Girls,observed_phrase,halloween gift for girls,True,,60,76,84,52,62,95,53,Ornament,gift-led demand supports common POD gift products; seasonal language increases keepsake and ornament fit; style and apparel wording supports shirts and simple print designs
Baby Boy Thank You,observed_phrase,baby boy thank you cards,True,Card,100,56,80,62,62,43,52,Card,gift-led demand supports common POD gift products; observed card or thank-you language supports greeting-card formats; style and apparel wording supports shirts and simple print designs
Funny Grandma,observed_phrase,funny grandma gift,True,,48,82,88,52,62,51,56,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products; style and apparel wording supports shirts and simple print designs
Thanksgiving Teacher,observed_phrase,thanksgiving teacher gift,True,,94,66,100,90,48,77,51,Mug,gift-led demand supports common POD gift products; seasonal language increases keepsake and ornament fit; observed card or thank-you language supports greeting-card formats
Gamer Girl,observed_phrase,gamer girl gift,True,,48,70,97,95,77,43,46,Mug,gift-led demand supports common POD gift products; hobby segments fit portable drinkware and apparel; style and apparel wording supports shirts and simple print designs
Fishing Christmas,observed_phrase,fishing christmas gift,True,,60,84,99,95,55,77,45,Mug,gift-led demand supports common POD gift products; seasonal language increases keepsake and ornament fit; hobby segments fit portable drinkware and apparel
Thanks Giving Outfit Baby Girl,observed_phrase,thanks giving outfit baby girl,True,Card,100,56,80,62,62,43,52,Card,gift-led demand supports common POD gift products; observed card or thank-you language supports greeting-card formats; style and apparel wording supports shirts and simple print designs
Hunting Boys,observed_phrase,hunting gift for boys,True,,48,70,97,95,77,43,46,Mug,gift-led demand supports common POD gift products; hobby segments fit portable drinkware and apparel; style and apparel wording supports shirts and simple print designs
Funny Teen Boys,observed_phrase,funny gift for teen boys,True,,48,62,74,52,62,43,46,Mug,gift-led demand supports common POD gift products; style and apparel wording supports shirts and simple print designs
Halloween Boys,observed_phrase,halloween gift for boys,True,,60,76,84,52,62,95,53,Ornament,gift-led demand supports common POD gift products; seasonal language increases keepsake and ornament fit; style and apparel wording supports shirts and simple print designs
Funny Wife,observed_phrase,funny gift for wife,True,,48,82,88,52,62,51,56,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products; style and apparel wording supports shirts and simple print designs
Football Thank You,observed_phrase,football thank you cards,True,Card,100,70,100,100,63,43,44,Tumbler,gift-led demand supports common POD gift products; observed card or thank-you language supports greeting-card formats; profession segments fit daily-use drinkware
Cat Thank You,observed_phrase,cat thank you cards,True,Card,100,95,88,52,40,71,58,Card,gift-led demand supports common POD gift products; observed card or thank-you language supports greeting-card formats; pet and memorial language supports photo and keepsake products
Soccer Mom,observed_phrase,soccer mom gift,True,,48,90,100,95,55,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products; hobby segments fit portable drinkware and apparel
Cat Lover Girls,observed_phrase,cat lover gift for girls,True,,48,95,90,52,62,71,60,Blanket,gift-led demand supports common POD gift products; pet and memorial language supports photo and keepsake products; style and apparel wording supports shirts and simple print designs
Daughter In Law Wedding,observed_phrase,daughter in law wedding gift,True,,48,76,80,62,40,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products
Truck Driver Appreciation Week,observed_phrase,truck driver appreciation week gift,True,,82,56,72,62,40,43,44,Card,gift-led demand supports common POD gift products; observed card or thank-you language supports greeting-card formats
Christian Teacher,observed_phrase,christian teacher gift,True,,48,52,98,90,48,43,38,Mug,gift-led demand supports common POD gift products; profession segments fit daily-use drinkware
Fishing Dad,observed_phrase,fishing gift for dad,True,,48,90,100,95,55,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products; hobby segments fit portable drinkware and apparel
Book Lovers Girls,observed_phrase,gift for book lovers girls,True,,48,52,82,70,62,43,46,Mug,gift-led demand supports common POD gift products; style and apparel wording supports shirts and simple print designs
Funny Dog,observed_phrase,funny dog gift,True,,48,95,90,52,62,71,60,Blanket,gift-led demand supports common POD gift products; pet and memorial language supports photo and keepsake products; style and apparel wording supports shirts and simple print designs
Funny Pickleball,observed_phrase,funny pickleball gift,True,,48,62,74,52,62,43,46,Mug,gift-led demand supports common POD gift products; style and apparel wording supports shirts and simple print designs
Dog Thank You,observed_phrase,dog thank you cards,True,Card,100,95,88,52,40,71,58,Card,gift-led demand supports common POD gift products; observed card or thank-you language supports greeting-card formats; pet and memorial language supports photo and keepsake products
Coffee Christmas Set,observed_phrase,coffee christmas gift set,True,,60,66,100,90,40,77,45,Mug,gift-led demand supports common POD gift products; seasonal language increases keepsake and ornament fit; beverage identity has direct drinkware fit
Gamer Husband,observed_phrase,gift for gamer husband,True,,48,90,100,95,55,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products; hobby segments fit portable drinkware and apparel
Holiday Teacher,observed_phrase,holiday teacher gift,True,,60,66,100,90,48,77,45,Mug,gift-led demand supports common POD gift products; seasonal language increases keepsake and ornament fit; profession segments fit daily-use drinkware
Christian Dad,observed_phrase,christian gift for dad,True,,48,76,80,62,40,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products
Gamer Christmas,observed_phrase,gamer christmas gift,True,,60,84,99,95,55,77,45,Mug,gift-led demand supports common POD gift products; seasonal language increases keepsake and ornament fit; hobby segments fit portable drinkware and apparel
Soccer Christmas,observed_phrase,soccer christmas gift,True,,60,84,99,95,55,77,45,Mug,gift-led demand supports common POD gift products; seasonal language increases keepsake and ornament fit; hobby segments fit portable drinkware and apparel
Funny Son In Law,observed_phrase,funny son in law gift,True,,48,82,88,52,62,51,56,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products; style and apparel wording supports shirts and simple print designs
Funny Hunting,observed_phrase,funny hunting gift,True,,48,70,97,95,77,43,46,Mug,gift-led demand supports common POD gift products; hobby segments fit portable drinkware and apparel; style and apparel wording supports shirts and simple print designs
Hunting Christmas,observed_phrase,hunting christmas gift,True,,60,84,99,95,55,77,45,Mug,gift-led demand supports common POD gift products; seasonal language increases keepsake and ornament fit; hobby segments fit portable drinkware and apparel
Hunting Dad,observed_phrase,hunting gift for dad,True,,48,90,100,95,55,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products; hobby segments fit portable drinkware and apparel
Western Girl,observed_phrase,western girl gift,True,,48,56,74,62,62,43,46,Mug,gift-led demand supports common POD gift products; style and apparel wording supports shirts and simple print designs
Funny Teen Girls,observed_phrase,funny gift for teen girls,True,,48,62,74,52,62,43,46,Mug,gift-led demand supports common POD gift products; style and apparel wording supports shirts and simple print designs
Mothers Day Mom,observed_phrase,mothers day gift for mom,True,,48,76,80,62,40,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products
Funny Firefighter,observed_phrase,funny firefighter gift,True,,48,62,74,52,62,43,46,Mug,gift-led demand supports common POD gift products; style and apparel wording supports shirts and simple print designs
Gardening Mom,observed_phrase,gardening gift for mom,True,,48,76,80,62,40,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products
Fathers Day Dad,observed_phrase,fathers day gift for dad,True,,48,76,80,62,40,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products
Dog Grandpa,observed_phrase,dog grandpa gift,True,,48,100,96,52,40,79,62,Blanket,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products; pet and memorial language supports photo and keepsake products
Grandma Garden,observed_phrase,grandma garden gift,True,,48,76,80,62,40,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products
Thank You Mr Falker,observed_phrase,thank you mr falker,True,,82,76,86,62,40,51,54,Mug,gift-led demand supports common POD gift products; observed card or thank-you language supports greeting-card formats; family recipient language fits emotional keepsake products
Gamer Dad,observed_phrase,gamer dad gift,True,,48,90,100,95,55,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products; hobby segments fit portable drinkware and apparel
Firefighter Christmas,observed_phrase,firefighter christmas gift,True,,60,76,76,52,40,95,45,Ornament,gift-led demand supports common POD gift products; seasonal language increases keepsake and ornament fit
Christian Grandma,observed_phrase,christian gift for grandma,True,,48,76,80,62,40,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products
Wedding Son,observed_phrase,wedding gift for son,True,,48,76,80,62,40,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products
Dog Memorial Garden Stones,observed_phrase,dog memorial garden stones,True,,42,87,74,46,40,66,52,Blanket,pet and memorial language supports photo and keepsake products
Husband On Wedding Day,observed_phrase,gift for husband on wedding day,True,,48,76,80,62,40,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products
Funny Cop,observed_phrase,funny cop gift,True,,48,62,74,52,62,43,46,Mug,gift-led demand supports common POD gift products; style and apparel wording supports shirts and simple print designs
Soccer Dad,observed_phrase,soccer dad gift,True,,48,90,100,95,55,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products; hobby segments fit portable drinkware and apparel
Christian Wife,observed_phrase,christian gift for wife,True,,48,76,80,62,40,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products
Yoga Teacher,observed_phrase,yoga teacher gift,True,,48,52,98,90,48,43,38,Mug,gift-led demand supports common POD gift products; profession segments fit daily-use drinkware
Cat Grandma,observed_phrase,cat grandma gift,True,,48,100,96,52,40,79,62,Blanket,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products; pet and memorial language supports photo and keepsake products
Funny Chef,observed_phrase,funny chef gift,True,,48,62,74,52,62,43,46,Mug,gift-led demand supports common POD gift products; style and apparel wording supports shirts and simple print designs
Reading Teacher,observed_phrase,reading teacher gift,True,,48,52,98,90,48,43,38,Mug,gift-led demand supports common POD gift products; profession segments fit daily-use drinkware
Funny Camping,observed_phrase,funny camping gift,True,,48,70,97,95,77,43,46,Mug,gift-led demand supports common POD gift products; hobby segments fit portable drinkware and apparel; style and apparel wording supports shirts and simple print designs
Farm Girl,observed_phrase,farm girl gift,True,,48,56,74,62,62,43,46,Mug,gift-led demand supports common POD gift products; style and apparel wording supports shirts and simple print designs
Dad Gardening,observed_phrase,gift for dad gardening,True,,48,76,80,62,40,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products
Grandpa Fishing,observed_phrase,grandpa fishing gift,True,,48,90,100,95,55,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products; hobby segments fit portable drinkware and apparel
Girl Dog,observed_phrase,girl dog gift,True,,48,95,90,52,62,71,60,Blanket,gift-led demand supports common POD gift products; pet and memorial language supports photo and keepsake products; style and apparel wording supports shirts and simple print designs
Teacher Valentine,observed_phrase,teacher valentine gift,True,,60,66,100,90,48,77,45,Mug,gift-led demand supports common POD gift products; seasonal language increases keepsake and ornament fit; profession segments fit daily-use drinkware
Funny Electrician,observed_phrase,funny electrician gift,True,,48,62,74,52,62,43,46,Mug,gift-led demand supports common POD gift products; style and apparel wording supports shirts and simple print designs
Funny Coffee,observed_phrase,funny coffee gift,True,,48,52,100,90,62,43,46,Mug,gift-led demand supports common POD gift products; beverage identity has direct drinkware fit; style and apparel wording supports shirts and simple print designs
Thankful Teacher,observed_phrase,thankful teacher gift,True,,94,66,100,90,48,77,51,Mug,gift-led demand supports common POD gift products; seasonal language increases keepsake and ornament fit; observed card or thank-you language supports greeting-card formats
Give Thanks Garden Flag,observed_phrase,give thanks garden flag,True,,82,56,72,62,40,43,44,Card,gift-led demand supports common POD gift products; observed card or thank-you language supports greeting-card formats
Best Christmas Hairdresser,observed_phrase,best christmas gift for hairdresser,True,,60,76,76,52,40,95,45,Ornament,gift-led demand supports common POD gift products; seasonal language increases keepsake and ornament fit
Reading Mom,observed_phrase,reading mom gift,True,,48,72,88,70,40,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products
Funny Football,observed_phrase,funny football gift,True,,48,70,97,95,77,43,46,Mug,gift-led demand supports common POD gift products; hobby segments fit portable drinkware and apparel; style and apparel wording supports shirts and simple print designs
Funny Gardening,observed_phrase,funny gardening gift,True,,48,62,74,52,62,43,46,Mug,gift-led demand supports common POD gift products; style and apparel wording supports shirts and simple print designs
Cat Birthday,observed_phrase,cat birthday gift,True,,48,95,82,52,40,71,52,Blanket,gift-led demand supports common POD gift products; pet and memorial language supports photo and keepsake products
Teacher Graduation,observed_phrase,teacher graduation gift,True,,48,52,98,90,48,43,38,Mug,gift-led demand supports common POD gift products; profession segments fit daily-use drinkware
Funny Gamer,observed_phrase,funny gamer gift,True,,48,70,97,95,77,43,46,Mug,gift-led demand supports common POD gift products; hobby segments fit portable drinkware and apparel; style and apparel wording supports shirts and simple print designs
Thank You Mom,observed_phrase,thank you mom,True,,82,76,86,62,40,51,54,Mug,gift-led demand supports common POD gift products; observed card or thank-you language supports greeting-card formats; family recipient language fits emotional keepsake products
Christian Husband,observed_phrase,christian gift for husband,True,,48,76,80,62,40,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products
Halloween Nurse,observed_phrase,halloween nurse gift,True,,60,66,100,90,48,77,45,Mug,gift-led demand supports common POD gift products; seasonal language increases keepsake and ornament fit; profession segments fit daily-use drinkware
Funny Daughter,observed_phrase,funny gift for daughter,True,,48,82,88,52,62,51,56,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products; style and apparel wording supports shirts and simple print designs
Boys Valentine,observed_phrase,boys valentine gift,True,,60,70,84,62,62,77,53,Mug,gift-led demand supports common POD gift products; seasonal language increases keepsake and ornament fit; style and apparel wording supports shirts and simple print designs
Cat Lover Mom,observed_phrase,cat lover mom gift,True,,48,100,96,52,40,79,62,Blanket,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products; pet and memorial language supports photo and keepsake products
Camping Christmas,observed_phrase,camping christmas gift,True,,60,84,99,95,55,77,45,Mug,gift-led demand supports common POD gift products; seasonal language increases keepsake and ornament fit; hobby segments fit portable drinkware and apparel
Pickleball Christmas,observed_phrase,pickleball christmas gift,True,,60,76,76,52,40,95,45,Ornament,gift-led demand supports common POD gift products; seasonal language increases keepsake and ornament fit
Book Lover Teen Girls,observed_phrase,book lover gift for teen girls,True,,48,52,82,70,62,43,46,Mug,gift-led demand supports common POD gift products; style and apparel wording supports shirts and simple print designs
Holiday Coffee Set,observed_phrase,holiday coffee gift set,True,,60,66,100,90,40,77,45,Mug,gift-led demand supports common POD gift products; seasonal language increases keepsake and ornament fit; beverage identity has direct drinkware fit
Chef Christmas,observed_phrase,chef christmas gift,True,,60,76,76,52,40,95,45,Ornament,gift-led demand supports common POD gift products; seasonal language increases keepsake and ornament fit
Camping Dad,observed_phrase,camping gift for dad,True,,48,90,100,95,55,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products; hobby segments fit portable drinkware and apparel
Christian Daughter,observed_phrase,christian gift for daughter,True,,48,76,80,62,40,51,48,Mug,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products
Christmas Police Officers,observed_phrase,christmas gift for police officers,True,,60,76,76,52,40,95,45,Ornament,gift-led demand supports common POD gift products; seasonal language increases keepsake and ornament fit
Mom Dog Women,observed_phrase,mom dog gift for women,True,,48,100,96,52,40,79,62,Blanket,gift-led demand supports common POD gift products; family recipient language fits emotional keepsake products; pet and memorial language supports photo and keepsake products
